"","time","country","province","cum_confirm","cum_heal","cum_dead"
"1","2020-03-16","United Kingdom","England",0,0,0
"2","2020-03-16","United Kingdom","Scotland",0,0,0
"3","2020-03-16","United Kingdom","Wales",0,0,0
"4","2020-03-16","United Kingdom","Northern Ireland",0,0,0
"5","2020-03-17","United Kingdom","England",0,0,0
"6","2020-03-17","United Kingdom","Scotland",0,0,0
"7","2020-03-17","United Kingdom","Wales",0,0,0
"8","2020-03-17","United Kingdom","Northern Ireland",0,0,0
"9","2020-03-18","United Kingdom","England",1196,0,48
"10","2020-03-18","United Kingdom","Scotland",153,0,1
"11","2020-03-18","United Kingdom","Wales",124,0,0
"12","2020-03-18","United Kingdom","Northern Ireland",52,0,0
"13","2020-03-19","United Kingdom","England",2182,0,48
"14","2020-03-19","United Kingdom","Scotland",227,0,1
"15","2020-03-19","United Kingdom","Wales",149,0,0
"16","2020-03-19","United Kingdom","Northern Ireland",68,0,0
"17","2020-03-20","United Kingdom","England",2756,0,128
"18","2020-03-20","United Kingdom","Scotland",266,0,6
"19","2020-03-20","United Kingdom","Wales",170,0,2
"20","2020-03-20","United Kingdom","Northern Ireland",77,0,1
"21","2020-03-16","United Kingdom","England",0,0,0
"22","2020-03-16","United Kingdom","Scotland",0,0,0
"23","2020-03-16","United Kingdom","Wales",0,0,0
"24","2020-03-16","United Kingdom","Northern Ireland",0,0,0
"25","2020-03-17","United Kingdom","England",0,0,0
"26","2020-03-17","United Kingdom","Scotland",0,0,0
"27","2020-03-17","United Kingdom","Wales",0,0,0
"28","2020-03-17","United Kingdom","Northern Ireland",0,0,0
"29","2020-03-18","United Kingdom","England",1196,0,48
"30","2020-03-18","United Kingdom","Scotland",153,0,1
"31","2020-03-18","United Kingdom","Wales",124,0,0
"32","2020-03-18","United Kingdom","Northern Ireland",52,0,0
"33","2020-03-19","United Kingdom","England",2182,0,48
"34","2020-03-19","United Kingdom","Scotland",227,0,1
"35","2020-03-19","United Kingdom","Wales",149,0,0
"36","2020-03-19","United Kingdom","Northern Ireland",68,0,0
"37","2020-03-20","United Kingdom","England",2756,0,128
"38","2020-03-20","United Kingdom","Scotland",266,0,6
"39","2020-03-20","United Kingdom","Wales",170,0,2
"40","2020-03-20","United Kingdom","Northern Ireland",77,0,1
"41","2020-03-21","United Kingdom","England",3384,0,128
"42","2020-03-21","United Kingdom","Scotland",322,0,6
"43","2020-03-21","United Kingdom","Wales",191,0,3
"44","2020-03-21","United Kingdom","Northern Ireland",86,0,1
"45","2020-03-16","United Kingdom","England",0,0,0
"46","2020-03-16","United Kingdom","Scotland",0,0,0
"47","2020-03-16","United Kingdom","Wales",0,0,0
"48","2020-03-16","United Kingdom","Northern Ireland",0,0,0
"49","2020-03-17","United Kingdom","England",0,0,0
"50","2020-03-17","United Kingdom","Scotland",0,0,0
"51","2020-03-17","United Kingdom","Wales",0,0,0
"52","2020-03-17","United Kingdom","Northern Ireland",0,0,0
"53","2020-03-18","United Kingdom","England",1196,0,48
"54","2020-03-18","United Kingdom","Scotland",153,0,1
"55","2020-03-18","United Kingdom","Wales",124,0,0
"56","2020-03-18","United Kingdom","Northern Ireland",52,0,0
"57","2020-03-19","United Kingdom","England",2182,0,48
"58","2020-03-19","United Kingdom","Scotland",227,0,1
"59","2020-03-19","United Kingdom","Wales",149,0,0
"60","2020-03-19","United Kingdom","Northern Ireland",68,0,0
"61","2020-03-20","United Kingdom","England",2756,0,128
"62","2020-03-20","United Kingdom","Scotland",266,0,6
"63","2020-03-20","United Kingdom","Wales",170,0,2
"64","2020-03-20","United Kingdom","Northern Ireland",77,0,1
"65","2020-03-21","United Kingdom","England",3384,0,128
"66","2020-03-21","United Kingdom","Scotland",322,0,6
"67","2020-03-21","United Kingdom","Wales",191,0,3
"68","2020-03-21","United Kingdom","Northern Ireland",86,0,1
"69","2020-03-22","United Kingdom","England",4257,0,181
"70","2020-03-22","United Kingdom","Scotland",373,0,7
"71","2020-03-22","United Kingdom","Wales",280,0,5
"72","2020-03-22","United Kingdom","Northern Ireland",108,0,1
"73","2020-03-16","United Kingdom","England",0,0,0
"74","2020-03-16","United Kingdom","Scotland",0,0,0
"75","2020-03-16","United Kingdom","Wales",0,0,0
"76","2020-03-16","United Kingdom","Northern Ireland",0,0,0
"77","2020-03-17","United Kingdom","England",0,0,0
"78","2020-03-17","United Kingdom","Scotland",0,0,0
"79","2020-03-17","United Kingdom","Wales",0,0,0
"80","2020-03-17","United Kingdom","Northern Ireland",0,0,0
"81","2020-03-18","United Kingdom","England",1196,0,48
"82","2020-03-18","United Kingdom","Scotland",153,0,1
"83","2020-03-18","United Kingdom","Wales",124,0,0
"84","2020-03-18","United Kingdom","Northern Ireland",52,0,0
"85","2020-03-19","United Kingdom","England",2182,0,48
"86","2020-03-19","United Kingdom","Scotland",227,0,1
"87","2020-03-19","United Kingdom","Wales",149,0,0
"88","2020-03-19","United Kingdom","Northern Ireland",68,0,0
"89","2020-03-20","United Kingdom","England",2756,0,128
"90","2020-03-20","United Kingdom","Scotland",266,0,6
"91","2020-03-20","United Kingdom","Wales",170,0,2
"92","2020-03-20","United Kingdom","Northern Ireland",77,0,1
"93","2020-03-21","United Kingdom","England",3384,0,128
"94","2020-03-21","United Kingdom","Scotland",322,0,6
"95","2020-03-21","United Kingdom","Wales",191,0,3
"96","2020-03-21","United Kingdom","Northern Ireland",86,0,1
"97","2020-03-22","United Kingdom","England",4257,0,181
