time,country,province,cum_confirm,cum_heal,cum_dead
3/15/20,Italy,Lombardy,13272,2011,1218
3/15/20,Italy,Emilia - Romagna,3093,68,284
3/15/20,Italy,Veneto,2246,120,63
3/15/20,Italy,Marche,1133,0,46
3/15/20,Italy,Piedmont,1111,0,81
3/15/20,Italy,Tuscany,781,10,8
3/15/20,Italy,Trentino - Alto Adige,582,5,11
3/15/20,Italy,Liguria,559,52,33
3/15/20,Italy,Lazio,436,24,16
3/15/20,Italy,Campania,400,28,9
3/15/20,Italy,Friuli - Venezia Giulia,347,17,14
3/15/20,Italy,Puglia,248,3,16
3/15/20,Italy,Sicily,188,7,2
3/15/20,Italy,Umbria,143,3,1
3/15/20,Italy,Abruzzo,137,6,3
3/15/20,Italy,Valle d'Aosta,88,0,1
3/15/20,Italy,Sardinia,77,0,2
3/15/20,Italy,Calabria,68,2,1
3/15/20,Italy,Molise,17,0,0
3/15/20,Italy,Basilicata,12,0,0
3/16/20,Italy,Lombardy,14649,2368,1420
3/16/20,Italy,Emilia - Romagna,3522,88,346
3/16/20,Italy,Veneto,2473,130,69
3/16/20,Italy,Piedmont,1516,0,111
3/16/20,Italy,Marche,1242,0,57
3/16/20,Italy,Tuscany,866,11,14
3/16/20,Italy,Liguria,667,42,50
3/16/20,Italy,Trentino - Alto Adige,619,5,12
3/16/20,Italy,Lazio,523,32,19
3/16/20,Italy,Campania,400,28,9
3/16/20,Italy,Friuli - Venezia Giulia,386,18,22
3/16/20,Italy,Puglia,230,2,16
3/16/20,Italy,Sicily,213,8,2
3/16/20,Italy,Abruzzo,176,7,4
3/16/20,Italy,Umbria,164,4,1
3/16/20,Italy,Sardinia,107,0,2
3/16/20,Italy,Valle d'Aosta,105,0,2
3/16/20,Italy,Calabria,89,1,1
3/16/20,Italy,Molise,21,5,1
3/16/20,Italy,Basilicata,12,0,0
3/17/20,Italy,Lombardy,14649,2368,1420
3/17/20,Italy,Emilia - Romagna,3522,88,346
3/17/20,Italy,Veneto,2473,130,69
3/17/20,Italy,Piedmont,1516,0,111
3/17/20,Italy,Marche,1242,0,57
3/17/20,Italy,Tuscany,866,11,14
3/17/20,Italy,Liguria,667,42,50
3/17/20,Italy,Trentino - Alto Adige,619,5,12
3/17/20,Italy,Lazio,523,32,19
