"time","province","total_confirm","total_heal","total_dead"
2020-01-19,"Guangdong",1,0,0
2020-01-20,"Beijing",5,0,0
2020-01-20,"Guangdong",14,0,0
2020-01-20,"Shanghai",2,0,0
2020-01-21,"Anhui",0,0,0
2020-01-21,"Beijing",10,0,0
2020-01-21,"Chongqing",5,0,0
2020-01-21,"Guangdong",26,0,0
2020-01-21,"Guizhou",0,0,0
2020-01-21,"Heilongjiang",0,0,0
2020-01-21,"Henan",1,0,0
2020-01-21,"Hunan",1,0,0
2020-01-21,"Jiangxi",2,0,0
2020-01-21,"Shandong",1,0,0
2020-01-21,"Sichuan",2,0,0
2020-01-21,"Zhejiang",5,0,0
2020-01-22,"Anhui",1,0,0
2020-01-22,"Beijing",14,0,0
2020-01-22,"Chongqing",9,0,0
2020-01-22,"Fujian",1,0,0
2020-01-22,"Guangdong",32,0,0
2020-01-22,"Guangxi",2,0,0
2020-01-22,"Guizhou",3,0,0
2020-01-22,"Hainan",5,0,0
2020-01-22,"Hebei",1,0,0
2020-01-22,"Heilongjiang",1,0,0
2020-01-22,"Henan",5,0,0
2020-01-22,"Hunan",4,0,0
2020-01-22,"Jiangsu",1,0,0
2020-01-22,"Jiangxi",3,0,0
2020-01-22,"Jilin",1,0,0
2020-01-22,"Liaoning",2,0,0
2020-01-22,"Ningxia",1,0,0
2020-01-22,"Shaanxi",4,0,0
2020-01-22,"Shandong",6,0,0
2020-01-22,"Shanxi",1,0,0
2020-01-22,"Sichuan",5,0,0
2020-01-22,"Zhejiang",10,0,0
2020-01-23,"Anhui",15,0,0
2020-01-23,"Beijing",22,0,0
2020-01-23,"Chongqing",27,0,0
2020-01-23,"Fujian",4,0,0
2020-01-23,"Gansu",1,0,0
2020-01-23,"Guangdong",53,2,0
2020-01-23,"Guangxi",13,0,0
2020-01-23,"Guizhou",3,0,0
2020-01-23,"Hainan",8,0,0
2020-01-23,"Hebei",2,0,1
2020-01-23,"Heilongjiang",4,0,1
2020-01-23,"Henan",9,0,0
2020-01-23,"Hunan",24,0,0
2020-01-23,"Inner Mongolia",1,0,0
