time,country,province,city,cum_confirm,cum_heal,cum_dead
12/1/19,China,Hubei,Wuhan,1,0,0
12/2/19,China,Hubei,Wuhan,1,0,0
12/3/19,China,Hubei,Wuhan,1,0,0
12/4/19,China,Hubei,Wuhan,1,0,0
12/5/19,China,Hubei,Wuhan,1,0,0
12/6/19,China,Hubei,Wuhan,1,0,0
12/7/19,China,Hubei,Wuhan,1,0,0
12/8/19,China,Hubei,Wuhan,1,0,0
12/9/19,China,Hubei,Wuhan,1,0,0
12/10/19,China,Hubei,Wuhan,1,0,0
12/11/19,China,Hubei,Wuhan,4,0,0
12/12/19,China,Hubei,Wuhan,4,0,0
12/13/19,China,Hubei,Wuhan,4,0,0
12/14/19,China,Hubei,Wuhan,4,0,0
12/15/19,China,Hubei,Wuhan,6,0,0
12/16/19,China,Hubei,Wuhan,6,0,0
12/17/19,China,Hubei,Wuhan,7,0,0
12/18/19,China,Hubei,Wuhan,8,0,0
12/19/19,China,Hubei,Wuhan,9,0,0
12/20/19,China,Hubei,Wuhan,14,0,0
12/21/19,China,Hubei,Wuhan,18,0,0
12/22/19,China,Hubei,Wuhan,21,0,0
12/23/19,China,Hubei,Wuhan,29,0,0
12/24/19,China,Hubei,Wuhan,30,0,0
12/25/19,China,Hubei,Wuhan,33,0,0
12/26/19,China,Hubei,Wuhan,35,0,0
12/27/19,China,Hubei,Wuhan,37,0,0
12/28/19,China,Hubei,Wuhan,37,0,0
12/29/19,China,Hubei,Wuhan,37,0,0
12/30/19,China,Hubei,Wuhan,37,0,0
12/31/19,China,Hubei,Wuhan,40,0,0
1/1/20,China,Hubei,Wuhan,43,0,0
1/2/20,China,Hubei,Wuhan,44,0,0
1/3/20,China,Hubei,Wuhan,44,0,0
1/4/20,China,Hubei,Wuhan,44,0,0
1/5/20,China,Hubei,Wuhan,44,0,0
1/6/20,China,Hubei,Wuhan,44,0,0
1/7/20,China,Hubei,Wuhan,44,0,0
1/8/20,China,Hubei,Wuhan,44,0,0
1/9/20,China,Hubei,Wuhan,44,0,0
1/10/20,China,Hubei,Wuhan,44,2,1
1/11/20,China,Hubei,Wuhan,44,6,1
1/12/20,China,Hubei,Wuhan,44,7,1
1/13/20,China,Hubei,Wuhan,44,7,1
1/14/20,China,Hubei,Wuhan,44,7,1
1/15/20,China,Hubei,Wuhan,44,12,2
1/16/20,China,Hubei,Wuhan,45,15,2
1/17/20,China,Hubei,Wuhan,62,19,2
1/18/20,China,Hubei,Wuhan,121,24,3
1/19/20,China,Guangdong,Shenzhen,1,0,0
1/19/20,China,Hubei,Wuhan,198,25,3
1/20/20,China,Shanghai,Shanghai,1,0,0
1/20/20,China,Shanghai,Foreign to Shanghai,1,0,0
