"","time","country","cum_confirm","cum_heal","cum_dead"
"1","2019-12-01","China",1,0,0
"2","2019-12-02","China",1,0,0
"3","2019-12-03","China",1,0,0
"4","2019-12-04","China",1,0,0
"5","2019-12-05","China",1,0,0
"6","2019-12-06","China",1,0,0
"7","2019-12-07","China",1,0,0
"8","2019-12-08","China",1,0,0
"9","2019-12-09","China",1,0,0
"10","2019-12-10","China",1,0,0
"11","2019-12-11","China",4,0,0
"12","2019-12-12","China",4,0,0
"13","2019-12-13","China",4,0,0
"14","2019-12-14","China",4,0,0
"15","2019-12-15","China",6,0,0
"16","2019-12-16","China",6,0,0
"17","2019-12-17","China",7,0,0
"18","2019-12-18","China",8,0,0
"19","2019-12-19","China",9,0,0
"20","2019-12-20","China",14,0,0
"21","2019-12-21","China",18,0,0
"22","2019-12-22","China",21,0,0
"23","2019-12-23","China",29,0,0
"24","2019-12-24","China",30,0,0
"25","2019-12-25","China",33,0,0
"26","2019-12-26","China",35,0,0
"27","2019-12-27","China",37,0,0
"28","2019-12-28","China",37,0,0
"29","2019-12-29","China",37,0,0
"30","2019-12-30","China",37,0,0
"31","2019-12-31","China",40,0,0
"32","2020-01-01","China",43,0,0
"33","2020-01-02","China",44,0,0
"34","2020-01-03","China",44,0,0
"35","2020-01-04","China",44,0,0
"36","2020-01-05","China",44,0,0
"37","2020-01-06","China",44,0,0
"38","2020-01-07","China",44,0,0
"39","2020-01-08","China",44,0,0
"40","2020-01-09","China",44,0,0
"41","2020-01-10","China",44,2,1
"42","2020-01-11","China",44,6,1
"43","2020-01-12","China",44,7,1
"44","2020-01-13","China",44,7,1
"45","2020-01-14","China",44,7,1
"46","2020-01-15","China",44,12,2
"47","2020-01-16","Japan",1,1,0
"48","2020-01-16","Thailand",1,0,0
"49","2020-01-16","China",45,15,2
"50","2020-01-17","Japan",1,1,0
"51","2020-01-17","China",62,19,2
"52","2020-01-18","Japan",1,1,0
"53","2020-01-18","China",198,24,3
"54","2020-01-19","Japan",1,1,0
"55","2020-01-19","China",275,25,4
"56","2020-01-20","South Korea",1,0,0
"57","2020-01-20","Japan",1,1,0
"58","2020-01-20","Thailand",2,0,0
"59","2020-01-20","China",291,25,6
"60","2020-01-21","South Korea",1,0,0
"61","2020-01-21","Japan",1,1,0
"62","2020-01-21","Thailand",3,0,0
"63","2020-01-21","China",440,25,9
"64","2020-01-22","South Korea",1,0,0
"65","2020-01-22","United States",1,0,0
"66","2020-01-22","Japan",1,1,0
"67","2020-01-22","Thailand",3,0,0
"68","2020-01-22","China",571,25,17
"69","2020-01-23","South Korea",1,0,0
"70","2020-01-23","United States",1,0,0
"71","2020-01-23","Japan",1,1,0
"72","2020-01-23","Thailand",3,2,0
"73","2020-01-23","Singapore",1,0,0
"74","2020-01-23","Vietnam",2,0,0
"75","2020-01-23","China",830,34,25
"76","2020-01-24","France",2,0,0
"77","2020-01-24","South Korea",2,0,0
"78","2020-01-24","United States",2,0,0
"79","2020-01-24","Nepal",1,0,0
"80","2020-01-24","Japan",2,1,0
"81","2020-01-24","Thailand",4,2,0
"82","2020-01-24","Singapore",3,0,0
"83","2020-01-24","Vietnam",2,0,0
"84","2020-01-24","China",1287,38,41
"85","2020-01-25","Australia",1,0,0
"86","2020-01-25","France",3,0,0
"87","2020-01-25","South Korea",2,0,0
"88","2020-01-25","Malaysia",3,0,0
"89","2020-01-25","United States",2,0,0
"90","2020-01-25","Nepal",1,0,0
"91","2020-01-25","Japan",3,1,0
"92","2020-01-25","Thailand",4,2,0
"93","2020-01-25","Singapore",3,0,0
"94","2020-01-25","Vietnam",2,0,0
"95","2020-01-25","China",1975,49,56
"96","2020-01-26","Australia",4,0,0
"97","2020-01-26","France",3,0,0
"98","2020-01-26","South Korea",3,0,0
"99","2020-01-26","Malaysia",3,0,0
"100","2020-01-26","United States",3,0,0
