"time","city","cum_confirm","cum_heal","cum_dead"
2020-01-20,"Huanggang",12,0,0
2020-01-22,"Huanggang",12,0,0
2020-01-22,"Jingzhou",6,0,0
2020-01-22,"Jingmen",1,0,0
2020-01-23,"Jingmen",8,0,0
2020-01-23,"Jingzhou",8,0,0
2020-01-23,"Xiaogan",22,0,0
2020-01-23,"Xiantao",2,0,0
2020-01-23,"Yichang",1,0,1
2020-01-23,"Shiyan",1,0,0
2020-01-23,"Huanggang",12,0,0
2020-01-24,"Shiyan",5,0,0
2020-01-24,"Jingmen",21,0,0
2020-01-24,"Xiaogan",26,0,0
2020-01-24,"Huanggang",64,0,0
2020-01-24,"Jingzhou",10,0,0
2020-01-24,"Xiantao",10,0,0
2020-01-24,"Suizhou",5,0,0
2020-01-24,"Enshi",11,0,0
2020-01-24,"Ezhou",1,0,0
2020-01-24,"Tianmen",3,0,0
2020-01-24,"Yichang",1,0,1
2020-01-25,"Huanggang",122,2,2
2020-01-25,"Xiaogan",55,0,0
2020-01-25,"Xianning",43,0,0
2020-01-25,"Jingmen",38,0,1
2020-01-25,"Suizhou",36,0,0
2020-01-25,"Jingzhou",33,0,2
2020-01-25,"Huangshi",31,0,1
2020-01-25,"Yichang",20,0,1
2020-01-25,"Shiyan",20,0,0
2020-01-25,"Enshi",17,0,0
2020-01-25,"Xiantao",11,0,0
2020-01-25,"Tianmen",5,0,0
2020-01-25,"Xiangyang",2,0,0
2020-01-25,"Tianmen",5,0,0
2020-01-26,"Xianning",64,0,0
2020-01-26,"Qianjiang",5,0,1
2020-01-26,"Huanggang",154,2,4
2020-01-26,"Xiaogan",100,0,1
2020-01-26,"Jingmen",90,0,3
2020-01-26,"Jingzhou",47,0,2
2020-01-26,"Shiyan",40,0,0
2020-01-26,"Huangshi",36,0,1
2020-01-26,"Xiangyang",36,0,0
2020-01-26,"Yichang",31,0,1
2020-01-26,"Enshi",25,0,0
2020-01-26,"Ezhou",20,0,0
2020-01-26,"Tianmen",13,0,0
2020-01-26,"Xiantao",12,0,0
2020-01-26,"Suizhou",52,0,0
2020-01-27,"Huangshi",53,0,1
2020-01-27,"Shiyan",65,0,0
2020-01-27,"Yichang",51,0,1
2020-01-27,"Xiangyang",70,0,0
2020-01-27,"Ezhou",57,0,0
2020-01-27,"Jingmen",114,0,3
2020-01-27,"Xiaogan",173,0,1
2020-01-27,"Jingzhou",71,0,2
2020-01-27,"Huanggang",213,0,4
2020-01-27,"Xianning",91,0,0
2020-01-27,"Suizhou",70,0,0
2020-01-27,"Enshi",38,0,0
2020-01-27,"Xiantao",27,0,0
2020-01-27,"Qianjiang",7,0,1
2020-01-27,"Tianmen",23,0,2
2020-01-27,"Shennongjia",1,0,0
2020-01-28,"Huanggang",324,2,5
2020-01-28,"Xiaogan",274,0,3
2020-01-28,"Jingmen",142,0,4
2020-01-28,"Xiangyang",131,0,0
2020-01-28,"Suizhou",116,0,0
2020-01-28,"Xianning",112,0,0
2020-01-28,"Jingzhou",101,1,2
2020-01-28,"Yichang",63,0,1
2020-01-28,"Ezhou",84,0,1
