"time","province","total_confirm","total_heal","total_dead"
2020-04-16,"Guangdong",1571,1471,8
2020-04-15,"Guangdong",1566,1462,8
2020-04-14,"Guangdong",1564,1458,8
2020-04-13,"Guangdong",1555,1467,8
2020-04-12,"Guangdong",1552,1443,8
2020-04-11,"Guangdong",1548,1437,8
2020-04-10,"Guangdong",1544,1434,8
2020-04-09,"Guangdong",1539,1423,8
2020-04-08,"Guangdong",1536,1412,8
2020-04-07,"Guangdong",1533,1401,8
2020-04-06,"Guangdong",1532,1395,8
2020-04-05,"Guangdong",1524,1387,8
2020-04-04,"Guangdong",1516,1378,8
2020-04-03,"Guangdong",1514,1369,8
2020-04-02,"Guangdong",1508,1368,8
2020-04-01,"Guangdong",1501,1357,8
2020-03-31,"Guangdong",1494,1356,8
2020-03-30,"Guangdong",1484,1351,8
2020-03-29,"Guangdong",1475,1349,8
2020-03-28,"Guangdong",1467,1345,8
2020-03-27,"Guangdong",1456,1337,8
2020-03-26,"Guangdong",1448,1336,8
2020-03-25,"Guangdong",1433,1334,8
2020-03-24,"Guangdong",1428,1333,8
2020-03-23,"Guangdong",1415,1332,8
2020-03-22,"Guangdong",1407,1329,8
2020-03-21,"Guangdong",1400,1325,8
2020-03-20,"Guangdong",1395,1323,8
2020-03-19,"Guangdong",1378,1318,8
2020-03-18,"Guangdong",1370,1314,8
2020-03-17,"Guangdong",1364,1307,8
2020-03-16,"Guangdong",1361,1308,8
2020-03-15,"Guangdong",1360,1308,8
2020-03-11,"Guangdong",1356,1283,8
2020-03-12,"Guangdong",1356,1295,8
2020-03-13,"Guangdong",1356,1300,8
2020-03-14,"Guangdong",1356,1301,8
2020-03-09,"Guangdong",1353,1263,8
2020-03-10,"Guangdong",1353,1284,8
2020-03-06,"Guangdong",1352,1218,7
2020-03-07,"Guangdong",1352,1240,7
2020-03-08,"Guangdong",1352,1253,7
2020-03-05,"Guangdong",1351,1184,7
2020-03-02,"Guangdong",1350,1078,7
2020-03-03,"Guangdong",1350,1095,7
2020-03-04,"Guangdong",1350,1138,7
2020-02-29,"Guangdong",1349,1003,7
2020-03-01,"Guangdong",1349,1016,7
2020-02-28,"Guangdong",1348,936,7
2020-02-25,"Guangdong",1347,832,7
2020-02-26,"Guangdong",1347,853,7
2020-02-27,"Guangdong",1347,916,7
2020-02-24,"Guangdong",1345,799,6
2020-02-23,"Guangdong",1342,758,6
2020-02-22,"Guangdong",1339,761,5
2020-02-20,"Guangdong",1333,664,5
2020-02-21,"Guangdong",1333,689,5
2020-02-19,"Guangdong",1332,619,5
2020-02-18,"Guangdong",1331,571,5
2020-02-17,"Guangdong",1328,530,4
2020-02-16,"Guangdong",1322,473,4
2020-02-15,"Guangdong",1316,436,2
2020-02-14,"Guangdong",1294,386,2
2020-03-29,"Henan",1276,1251,22
2020-03-30,"Henan",1276,1251,22
2020-03-31,"Henan",1276,1251,22
2020-04-01,"Henan",1276,1251,22
2020-04-02,"Henan",1276,1251,22
2020-04-03,"Henan",1276,1251,22
2020-04-04,"Henan",1276,1251,22
2020-04-05,"Henan",1276,1251,22
2020-04-06,"Henan",1276,1252,22
2020-04-07,"Henan",1276,1252,22
2020-04-08,"Henan",1276,1252,22
2020-04-09,"Henan",1276,1252,22
2020-04-10,"Henan",1276,1252,22
2020-04-11,"Henan",1276,1252,22
2020-04-12,"Henan",1276,1253,22
2020-04-13,"Henan",1276,1253,22
2020-04-14,"Henan",1276,1254,22
2020-04-15,"Henan",1276,1254,22
2020-04-16,"Henan",1276,1254,22
2020-03-26,"Henan",1275,1250,22
2020-03-27,"Henan",1275,1250,22
2020-03-28,"Henan",1275,1251,22
2020-03-23,"Henan",1274,1250,22
2020-03-24,"Henan",1274,1250,22
2020-03-25,"Henan",1274,1250,22
2020-03-11,"Henan",1273,1251,22
2020-03-12,"Henan",1273,1249,22
2020-03-13,"Henan",1273,1249,22
2020-03-14,"Henan",1273,1250,22
2020-03-15,"Henan",1273,1250,22
2020-03-16,"Henan",1273,1250,22
2020-03-17,"Henan",1273,1250,22
2020-03-18,"Henan",1273,1250,22
2020-03-19,"Henan",1273,1250,22
2020-03-20,"Henan",1273,1250,22
2020-03-21,"Henan",1273,1250,22
2020-03-22,"Henan",1273,1250,22
2020-02-27,"Henan",1272,1067,20
2020-02-28,"Henan",1272,1116,20
2020-02-29,"Henan",1272,1176,21
2020-03-01,"Henan",1272,1197,22
2020-03-02,"Henan",1272,1206,22
2020-03-03,"Henan",1272,1229,22
2020-03-04,"Henan",1272,1236,22
2020-03-05,"Henan",1272,1245,22
