"name","nowConfirm","confirm","suspect","dead","deadRate","showRate","heal","healRate","showHeal"
"Hong Kong",660,1000,0,4,"0.40",FALSE,336,"33.60",TRUE
"Hubei",303,67803,0,3219,"4.75",FALSE,64281,"94.81",TRUE
"Taiwan",280,385,0,6,"1.56",FALSE,99,"25.71",TRUE
"Heilongjiang",201,684,0,13,"1.90",FALSE,470,"68.71",TRUE
"Shanghai",162,607,0,7,"1.15",FALSE,438,"72.16",TRUE
"Beijing",102,589,0,8,"1.36",FALSE,479,"81.32",TRUE
"Guangdong",101,1552,0,8,"0.52",FALSE,1443,"92.98",TRUE
"Inner Mongolia",71,155,0,1,"0.65",FALSE,83,"53.55",TRUE
"Shanxi",37,172,0,0,"0.00",FALSE,135,"78.49",TRUE
"Macau",35,45,0,0,"0.00",FALSE,10,"22.22",TRUE
"Fujian",30,352,0,1,"0.28",FALSE,321,"91.19",TRUE
"Zhejiang",28,1267,0,1,"0.08",FALSE,1238,"97.71",TRUE
"Shandong",20,784,0,7,"0.89",FALSE,757,"96.56",TRUE
"Tianjin",19,183,0,3,"1.64",FALSE,161,"87.98",TRUE
"Jiangsu",15,653,0,0,"0.00",FALSE,638,"97.70",TRUE
"Sichuan",10,560,0,3,"0.54",FALSE,547,"97.68",TRUE
"Yunnan",8,184,0,2,"1.09",FALSE,174,"94.57",TRUE
"Hebei",8,327,0,6,"1.83",FALSE,313,"95.72",TRUE
"Liaoning",7,145,0,2,"1.38",FALSE,136,"93.79",TRUE
"Shaanxi",5,256,0,3,"1.17",FALSE,248,"96.88",TRUE
"Chongqing",3,579,0,6,"1.04",FALSE,570,"98.45",TRUE
"Jilin",2,99,0,1,"1.01",FALSE,96,"96.97",TRUE
"Gansu",2,139,0,2,"1.44",FALSE,135,"97.12",TRUE
"Hunan",1,1019,0,4,"0.39",FALSE,1014,"99.51",TRUE
"Henan",1,1276,0,22,"1.72",FALSE,1253,"98.20",TRUE
"Guizhou",1,147,0,2,"1.36",FALSE,144,"97.96",TRUE
"Anhui",1,991,0,6,"0.61",FALSE,984,"99.29",TRUE
"Hainan",0,168,0,6,"3.57",FALSE,162,"96.43",TRUE
"Guangxi",0,254,0,2,"0.79",FALSE,252,"99.21",TRUE
"Ningxia",0,75,0,0,"0.00",FALSE,75,"100.00",TRUE
"Jiangxi",0,937,0,1,"0.11",FALSE,936,"99.89",TRUE
"Xinjiang",0,76,0,3,"3.95",FALSE,73,"96.05",TRUE
"Qinghai",0,18,0,0,"0.00",FALSE,18,"100.00",TRUE
"Tibet",0,1,0,0,"0.00",FALSE,1,"100.00",TRUE
