"name","nowConfirm","confirm","suspect","dead","deadRate","showRate","heal","healRate","showHeal"
"Wuhan",302,50008,0,2577,"5.15",FALSE,47129,"94.24",TRUE
"Yichang",1,931,0,36,"3.87",FALSE,894,"96.03",TRUE
"Huanggang",0,2907,0,125,"4.30",FALSE,2782,"95.70",TRUE
"Huangshi",0,1015,0,39,"3.84",FALSE,976,"96.16",TRUE
"Jingzhou",0,1580,0,52,"3.29",FALSE,1528,"96.71",TRUE
"Suizhou",0,1307,0,45,"3.44",FALSE,1262,"96.56",TRUE
"Jingmen",0,928,0,41,"4.42",FALSE,887,"95.58",TRUE
"Xianning",0,836,0,15,"1.79",FALSE,821,"98.21",TRUE
"Xiaogan",0,3518,0,129,"3.67",FALSE,3389,"96.33",TRUE
"Shiyan",0,672,0,8,"1.19",FALSE,664,"98.81",TRUE
"Ezhou",0,1394,0,59,"4.23",FALSE,1335,"95.77",TRUE
"Shennongjia",0,11,0,0,"0.00",FALSE,11,"100.00",TRUE
"Qianjiang",0,198,0,9,"4.55",FALSE,189,"95.45",TRUE
"Tianmen",0,496,0,15,"3.02",FALSE,481,"96.98",TRUE
"Xiangyang",0,1175,0,40,"3.40",FALSE,1135,"96.60",TRUE
"Xiantao",0,575,0,22,"3.83",FALSE,553,"96.17",TRUE
"Enshi",0,252,0,7,"2.78",FALSE,245,"97.22",TRUE
