"time","country","province","city","cum_confirm","cum_heal","cum_dead","suspected"
2019-12-01,"China","Hubei","Wuhan",1,0,0,0
2019-12-02,"China","Hubei","Wuhan",1,0,0,0
2019-12-03,"China","Hubei","Wuhan",1,0,0,0
2019-12-04,"China","Hubei","Wuhan",1,0,0,0
2019-12-05,"China","Hubei","Wuhan",1,0,0,0
2019-12-06,"China","Hubei","Wuhan",1,0,0,0
2019-12-07,"China","Hubei","Wuhan",1,0,0,0
2019-12-08,"China","Hubei","Wuhan",1,0,0,0
2019-12-09,"China","Hubei","Wuhan",1,0,0,0
2019-12-10,"China","Hubei","Wuhan",1,0,0,0
2019-12-11,"China","Hubei","Wuhan",4,0,0,0
2019-12-12,"China","Hubei","Wuhan",4,0,0,0
2019-12-13,"China","Hubei","Wuhan",4,0,0,0
2019-12-14,"China","Hubei","Wuhan",4,0,0,0
2019-12-15,"China","Hubei","Wuhan",6,0,0,0
2019-12-16,"China","Hubei","Wuhan",6,0,0,0
2019-12-17,"China","Hubei","Wuhan",7,0,0,0
2019-12-18,"China","Hubei","Wuhan",8,0,0,0
2019-12-19,"China","Hubei","Wuhan",9,0,0,0
2019-12-20,"China","Hubei","Wuhan",14,0,0,0
2019-12-21,"China","Hubei","Wuhan",18,0,0,0
2019-12-22,"China","Hubei","Wuhan",21,0,0,0
2019-12-23,"China","Hubei","Wuhan",29,0,0,0
2019-12-24,"China","Hubei","Wuhan",30,0,0,0
2019-12-25,"China","Hubei","Wuhan",33,0,0,0
2019-12-26,"China","Hubei","Wuhan",35,0,0,0
2019-12-27,"China","Hubei","Wuhan",37,0,0,0
2019-12-28,"China","Hubei","Wuhan",37,0,0,0
2019-12-29,"China","Hubei","Wuhan",37,0,0,0
2019-12-30,"China","Hubei","Wuhan",37,0,0,0
2019-12-31,"China","Hubei","Wuhan",40,0,0,0
2020-01-01,"China","Hubei","Wuhan",43,0,0,0
2020-01-02,"China","Hubei","Wuhan",44,0,0,0
2020-01-03,"China","Hubei","Wuhan",44,0,0,0
2020-01-04,"China","Hubei","Wuhan",44,0,0,0
2020-01-05,"China","Hubei","Wuhan",44,0,0,0
2020-01-06,"China","Hubei","Wuhan",44,0,0,0
2020-01-07,"China","Hubei","Wuhan",44,0,0,0
2020-01-08,"China","Hubei","Wuhan",44,0,0,0
2020-01-09,"China","Hubei","Wuhan",44,0,0,0
2020-01-10,"China","Hubei","Wuhan",44,2,1,0
2020-01-11,"China","Hubei","Wuhan",44,6,1,0
2020-01-12,"China","Hubei","Wuhan",44,7,1,0
2020-01-13,"China","Hubei","Wuhan",44,7,1,0
2020-01-14,"China","Hubei","Wuhan",44,7,1,0
2020-01-15,"China","Hubei","Wuhan",44,12,2,0
2020-01-16,"China","Hubei","Wuhan",45,15,2,0
2020-01-17,"China","Hubei","Wuhan",62,19,2,0
2020-01-18,"China","Hubei","Wuhan",121,24,3,0
2020-01-19,"China","Guangdong","Shenzhen",1,0,0,0
2020-01-19,"China","Hubei","Wuhan",198,25,3,0
2020-01-20,"China","Shanghai","Shanghai",1,0,0,0
2020-01-20,"China","Shanghai","Foreign to Shanghai",1,0,0,0
2020-01-20,"China","Beijing","Beijing",5,0,0,0
2020-01-20,"China","Guangdong","Shenzhen",9,0,0,0
2020-01-20,"China","Guangdong","Zhuhai",3,0,0,0
2020-01-20,"China","Guangdong","Zhanjiang",1,0,0,0
2020-01-20,"China","Guangdong","Huizhou",1,0,0,0
2020-01-20,"China","Hubei","Wuhan",258,25,6,0
2020-01-20,"China","Hubei","Huanggang",12,0,0,0
